Delphinium ×belladonna
Delphinium ×cultorum
Delphinium ×occidentale
Delphinium ×pavonaceum
Dendranthema ×grandiflorum
Dendrobium ×spyersii
Dendrobium ×delicatum
Dendrobium ×foederatum
Dendrobium ×gracillimum
Dendrobium ×grimesii
Dendrobium ×kestevenii
Dendrobium ×lavarackianum
Dendrobium ×nestor
Dendrobium ×ruppiosum
Dendrobium ×suffusum
Dentaria ×anomala
Deparia ×musashiensis
Deparia ×togakushiensis
Deutzia ×hybrida
Deutzia ×'Kalmaeflora'
Deutzia ×kalmiiflora
Deutzia ×lemoinei
Deutzia ×magnifica
Deutzia ×'NCDX1'
Deutzia ×'NCDX2'
Deutzia ×rosea
Dialypetalum ×hybridum
Dianthus ×courtoisii
Dianthus ×semperflorens
Dianthus ×allwoodii
Dianthus ×carolipaui
Dianthus ×dufftii
Dianthus ×fallens
Dianthus ×gallens
Dianthus ×graniticus
Dianthus ×heddewigii
Dianthus ×hellwigii
Dianthus ×melandrioides
Dianthus ×saxatilis
Dichelostemma ×venustum
Dicranopteris ×nepalensis
Dieffenbachia ×memoria-corsii
Diellia ×lauii
Diervilla ×splendens
Digitalis ×fucata
Digitalis ×media
Digitalis ×mertonensis
Digitalis ×purpurascens
Digitalis ×thapsi
Digitaria ×umfolozi
Dioscorea ×monandra
Diphasiastrum ×habereri
Diphasiastrum ×issleri
Diphasiastrum ×sabinifolium
Diphasiastrum ×verecundum
Diphasiastrum ×zeilleri
Diphasiastrum ×veracundum
Diphasiastrum ×zelleri
Diplacus ×australis
Diplacus ×linearis
Diplacus ×lompocensis
Diplazium ×hybridum
Diplazium ×kashmirianum
Diplazium ×maximale
Diplazium ×okudairaeoides
Diplazium ×toriianum
Diplodium ×furcillatum
Diplodium ×toveyanum
Disa ×brendae
Disa ×maculomarronina
Disocactus ×hybridus
Diuris ×fastidiosa
Diuris ×nebulosa
Diuris ×palachila
Dockrillia ×foederata
Dockrillia ×grimesii
Dombeya ×cayeuxii
Dombeya ×seminole
Doodia ×digena
Doronicum ×excelsum
Doryopteris ×leitei
Draba ×hoppeana
Draba ×nivea
Dracaena ×massefiana
Dracaena ×masseffiana
Dracula ×pinasensis
Dracula ×radiosyndactyla
Drosera ×beleziana
Drosera ×obovata
Drosera ×woodii
Drosera ×badgerupii
Drosera ×badgingarra
Drosera ×carbarup
Drosera ×fontinalis
Drosera ×legrandii
Drosera ×oborata
Drosera ×pingellyensis
Drosera ×sidjamesii
Dryas ×suendermannii
Drymonia ×hybrid
Drynaria ×dumicola
Dryopteris  ×mituii
Dryopteris  ×watanabei
Dryopteris ×ambroseae
Dryopteris ×australis
Dryopteris ×benedictii
Dryopteris ×boottii
Dryopteris ×correllii
Dryopteris ×deweveri
Dryopteris ×dowellii
Dryopteris ×montgomeryi
Dryopteris ×neowherryi
Dryopteris ×pittsfordensis
Dryopteris ×sarvelii
Dryopteris ×slossoniae
Dryopteris ×tavelii
Dryopteris ×triploidea
Dryopteris ×uliginosa
Dryopteris ×atropalustris
Dryopteris ×bootii
Dryopteris ×brathaica
Dryopteris ×burgessii
Dryopteris ×complexa
Dryopteris ×daliensis
